21-Mar-2022 13:15:14: Starting analysis of C:/Users/Gurvinder Nagra/Documents/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
21-Mar-2022 13:15:14: Success processing data hour 1
21-Mar-2022 13:15:14: Success processing data hour 2
21-Mar-2022 13:15:14: Success processing data hour 3
21-Mar-2022 13:15:14: Success processing data hour 4
21-Mar-2022 13:15:14: Success processing data hour 5
21-Mar-2022 13:15:14: Success processing data hour 6
21-Mar-2022 13:15:14: Success processing data hour 7
21-Mar-2022 13:15:15: Success processing data hour 8
21-Mar-2022 13:15:15: Success processing data hour 9
21-Mar-2022 13:15:15: Success processing data hour 10
21-Mar-2022 13:15:15: Success processing data hour 11
21-Mar-2022 13:15:15: Success processing data hour 12
21-Mar-2022 13:15:15: Success processing data hour 13
21-Mar-2022 13:15:15: Success processing data hour 14
21-Mar-2022 13:15:15: Success processing data hour 15
21-Mar-2022 13:15:15: Success processing data hour 16
21-Mar-2022 13:15:15: Success processing data hour 17
21-Mar-2022 13:15:15: Success processing data hour 18
21-Mar-2022 13:15:15: Success processing data hour 19
21-Mar-2022 13:15:15: Success processing data hour 20
21-Mar-2022 13:15:15: Success processing data hour 21
21-Mar-2022 13:15:15: Success processing data hour 22
21-Mar-2022 13:15:15: Success processing data hour 23
21-Mar-2022 13:15:15: Success processing data hour 24
21-Mar-2022 13:15:16: Success processing data hour 25
