08-Apr-2022 21:52:24: Starting analysis of C:/Users/Gurvinder Nagra/Documents/GitHub/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
08-Apr-2022 21:52:25: Success processing data hour 1
08-Apr-2022 21:52:25: Success processing data hour 2
08-Apr-2022 21:52:25: Success processing data hour 3
08-Apr-2022 21:52:25: Success processing data hour 4
08-Apr-2022 21:52:25: Success processing data hour 5
08-Apr-2022 21:52:25: Success processing data hour 6
08-Apr-2022 21:52:25: Success processing data hour 7
08-Apr-2022 21:52:25: Success processing data hour 8
08-Apr-2022 21:52:25: Success processing data hour 9
08-Apr-2022 21:52:25: Success processing data hour 10
08-Apr-2022 21:52:25: Success processing data hour 11
08-Apr-2022 21:52:25: Success processing data hour 12
08-Apr-2022 21:52:25: Success processing data hour 13
08-Apr-2022 21:52:26: Success processing data hour 14
08-Apr-2022 21:52:26: Success processing data hour 15
08-Apr-2022 21:52:26: Success processing data hour 16
08-Apr-2022 21:52:26: Success processing data hour 17
08-Apr-2022 21:52:26: Success processing data hour 18
08-Apr-2022 21:52:26: Success processing data hour 19
08-Apr-2022 21:52:26: Success processing data hour 20
08-Apr-2022 21:52:26: Success processing data hour 21
08-Apr-2022 21:52:26: Success processing data hour 22
08-Apr-2022 21:52:26: Success processing data hour 23
08-Apr-2022 21:52:26: Success processing data hour 24
08-Apr-2022 21:52:26: Success processing data hour 25
08-Apr-2022 21:52:26: Starting analysis of C:/Users/Gurvinder Nagra/Documents/GitHub/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
08-Apr-2022 21:52:26: Success processing data hour 1
08-Apr-2022 21:52:26: Success processing data hour 2
08-Apr-2022 21:52:26: Success processing data hour 3
08-Apr-2022 21:52:26: Success processing data hour 4
08-Apr-2022 21:52:26: Success processing data hour 5
08-Apr-2022 21:52:26: Success processing data hour 6
08-Apr-2022 21:52:26: Success processing data hour 7
08-Apr-2022 21:52:26: Success processing data hour 8
08-Apr-2022 21:52:26: Success processing data hour 9
08-Apr-2022 21:52:26: Success processing data hour 10
08-Apr-2022 21:52:27: Success processing data hour 11
08-Apr-2022 21:52:27: Success processing data hour 12
08-Apr-2022 21:52:27: Success processing data hour 13
08-Apr-2022 21:52:27: Success processing data hour 14
08-Apr-2022 21:52:27: Success processing data hour 15
08-Apr-2022 21:52:27: Success processing data hour 16
08-Apr-2022 21:52:27: Success processing data hour 17
08-Apr-2022 21:52:27: Success processing data hour 18
08-Apr-2022 21:52:27: Success processing data hour 19
08-Apr-2022 21:52:27: Success processing data hour 20
08-Apr-2022 21:52:27: Success processing data hour 21
08-Apr-2022 21:52:27: Success processing data hour 22
08-Apr-2022 21:52:27: Success processing data hour 23
08-Apr-2022 21:52:27: Success processing data hour 24
08-Apr-2022 21:52:27: Success processing data hour 25
08-Apr-2022 21:52:36: Starting analysis of C:/Users/Gurvinder Nagra/Documents/GitHub/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
08-Apr-2022 21:52:36: Success processing data hour 1
08-Apr-2022 21:52:37: Success processing data hour 2
08-Apr-2022 21:52:37: Success processing data hour 3
08-Apr-2022 21:52:37: Success processing data hour 4
08-Apr-2022 21:52:37: Success processing data hour 5
08-Apr-2022 21:52:37: Success processing data hour 6
08-Apr-2022 21:52:37: Success processing data hour 7
08-Apr-2022 21:52:37: Success processing data hour 8
08-Apr-2022 21:52:37: Success processing data hour 9
08-Apr-2022 21:52:37: Success processing data hour 10
08-Apr-2022 21:52:37: Success processing data hour 11
08-Apr-2022 21:52:37: Success processing data hour 12
08-Apr-2022 21:52:37: Success processing data hour 13
08-Apr-2022 21:52:37: Success processing data hour 14
08-Apr-2022 21:52:37: Success processing data hour 15
08-Apr-2022 21:52:37: Success processing data hour 16
08-Apr-2022 21:52:37: Success processing data hour 17
08-Apr-2022 21:52:37: Success processing data hour 18
08-Apr-2022 21:52:37: Success processing data hour 19
08-Apr-2022 21:52:37: Success processing data hour 20
08-Apr-2022 21:52:37: Success processing data hour 21
08-Apr-2022 21:52:37: Success processing data hour 22
08-Apr-2022 21:52:37: Success processing data hour 23
08-Apr-2022 21:52:37: Success processing data hour 24
08-Apr-2022 21:52:37: Success processing data hour 25
08-Apr-2022 21:53:07: Starting analysis of C:/Users/Gurvinder Nagra/Documents/GitHub/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
08-Apr-2022 21:53:07: Success processing data hour 1
08-Apr-2022 21:53:07: Success processing data hour 2
08-Apr-2022 21:53:08: Success processing data hour 3
08-Apr-2022 21:53:08: Success processing data hour 4
08-Apr-2022 21:53:08: Success processing data hour 5
08-Apr-2022 21:53:08: Success processing data hour 6
08-Apr-2022 21:53:08: Success processing data hour 7
08-Apr-2022 21:53:08: Success processing data hour 8
08-Apr-2022 21:53:08: Success processing data hour 9
08-Apr-2022 21:53:08: Success processing data hour 10
08-Apr-2022 21:53:08: Success processing data hour 11
08-Apr-2022 21:53:08: Success processing data hour 12
08-Apr-2022 21:53:08: Success processing data hour 13
08-Apr-2022 21:53:08: Success processing data hour 14
08-Apr-2022 21:53:08: Success processing data hour 15
08-Apr-2022 21:53:08: Success processing data hour 16
08-Apr-2022 21:53:08: Success processing data hour 17
08-Apr-2022 21:53:08: Success processing data hour 18
08-Apr-2022 21:53:08: Success processing data hour 19
08-Apr-2022 21:53:08: Success processing data hour 20
08-Apr-2022 21:53:08: Success processing data hour 21
08-Apr-2022 21:53:08: Success processing data hour 22
08-Apr-2022 21:53:08: Success processing data hour 23
08-Apr-2022 21:53:08: Success processing data hour 24
08-Apr-2022 21:53:08: Success processing data hour 25
08-Apr-2022 21:53:30: Starting analysis of C:/Users/Gurvinder Nagra/Documents/GitHub/5011CEM2022NagraG4/Model/o3_surface_20180701000000.nc
08-Apr-2022 21:53:30: Success processing data hour 1
08-Apr-2022 21:53:30: Success processing data hour 2
08-Apr-2022 21:53:30: Success processing data hour 3
08-Apr-2022 21:53:30: Success processing data hour 4
08-Apr-2022 21:53:30: Success processing data hour 5
08-Apr-2022 21:53:30: Success processing data hour 6
08-Apr-2022 21:53:30: Success processing data hour 7
08-Apr-2022 21:53:30: Success processing data hour 8
08-Apr-2022 21:53:30: Success processing data hour 9
08-Apr-2022 21:53:30: Success processing data hour 10
08-Apr-2022 21:53:30: Success processing data hour 11
08-Apr-2022 21:53:30: Success processing data hour 12
08-Apr-2022 21:53:31: Success processing data hour 13
08-Apr-2022 21:53:31: Success processing data hour 14
08-Apr-2022 21:53:31: Success processing data hour 15
08-Apr-2022 21:53:31: Success processing data hour 16
08-Apr-2022 21:53:31: Success processing data hour 17
08-Apr-2022 21:53:31: Success processing data hour 18
08-Apr-2022 21:53:31: Success processing data hour 19
08-Apr-2022 21:53:31: Success processing data hour 20
08-Apr-2022 21:53:31: Success processing data hour 21
08-Apr-2022 21:53:31: Success processing data hour 22
08-Apr-2022 21:53:31: Success processing data hour 23
08-Apr-2022 21:53:31: Success processing data hour 24
08-Apr-2022 21:53:31: Success processing data hour 25
